"id","name","category","proficiency"
"1","PHP","Languages","95"
"2","Python","Languages","95"
"3","JavaScript","Languages","95"
"4","HTML5","Languages","90"
"5","CSS3","Languages","90"
"6","SQL","Languages","85"
"7","TypeScript","Languages","75"
"8","Bash Scripting","Languages","70"
"9","Django","Backend","90"
"10","REST APIs","Backend","85"
"11","Bootstrap","Frontend","90"
"12","jQuery","Frontend","80"
"13","MySQL","Database","90"
"14","PostgreSQL","Database","85"
"15","Git","Tools","90"
"16","GitHub","Tools","90"
"17","Docker","Tools","80"
"18","Linux","Tools","85"
"19","VS Code","Tools","90"
"20","Apache","Tools","75"
"21","Problem Solving","Professional","95"
"22","Project Management","Professional","85"
"23","Communication","Professional","90"
